"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","TransectsSampled","TotalAreaSurveyed_sqm"
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1991,7/9/1991 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1992,7/13/1992 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1993,7/12/1993 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1994,9/15/1994 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1995,8/21/1995 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1996,7/8/1996 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1997,7/21/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1998,7/6/1998 0:00:00,2.00,2.77777784503996e-03,6.4874910749495e-03,1.87277735676616e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2000,7/31/2000 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2001,7/16/2001 0:00:00,4.00,5.55555569007993e-03,8.20609927177429e-03,2.36889673396945e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2002,7/8/2002 0:00:00,2.00,2.77777784503996e-03,6.4874910749495e-03,1.87277735676616e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2003,8/18/2003 0:00:00,2.00,2.77777784503996e-03,6.4874910749495e-03,1.87277735676616e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2004,7/26/2004 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2005,6/13/2005 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2006,6/19/2006 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2008,7/28/2008 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2009,6/1/2009 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2010,6/28/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2011,9/12/2011 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2012,7/24/2012 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2013,9/19/2013 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2014,8/11/2014 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2015,6/8/2015 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2016,7/26/2016 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2017,7/11/2017 0:00:00,2.00,2.77777784503996e-03,6.4874910749495e-03,1.87277735676616e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2018,7/12/2018 0:00:00,3.00,4.16666688397527e-03,7.53778358921409e-03,2.17597070150077e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6006.00,"Lophogorgia chilensis","red gorgonian",2019,10/7/2019 0:00:00,3.00,4.16666688397527e-03,7.53778358921409e-03,2.17597070150077e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1983,9/13/1983 0:00:00,0.00,0.00,0.00,0.00,10,400.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1984,8/28/1984 0:00:00,0.00,0.00,0.00,0.00,10,400.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1985,8/27/1985 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1986,7/28/1986 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1987,8/13/1987 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1988,9/19/1988 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1989,7/24/1989 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1990,7/9/1990 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1991,7/9/1991 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1992,7/13/1992 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1993,7/12/1993 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1994,9/15/1994 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1995,8/21/1995 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1996,7/8/1996 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1997,7/21/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2000,7/31/2000 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2002,7/8/2002 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2003,8/18/2003 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2005,6/13/2005 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2006,6/19/2006 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2008,7/28/2008 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2009,6/1/2009 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2010,6/28/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2011,9/12/2011 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2012,7/24/2012 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2013,9/19/2013 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2014,8/11/2014 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2015,6/8/2015 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2016,7/26/2016 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2017,7/11/2017 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2018,7/12/2018 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6007.00,"Muricea fruticosa","brown gorgonian",2019,10/7/2019 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1990,7/9/1990 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1991,7/9/1991 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1992,7/13/1992 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1993,7/12/1993 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1994,9/15/1994 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1995,8/21/1995 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1996,7/8/1996 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1997,7/21/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2000,7/31/2000 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2002,7/8/2002 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2003,8/18/2003 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2005,6/13/2005 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2006,6/19/2006 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2008,7/28/2008 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2009,6/1/2009 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2010,6/28/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2011,9/12/2011 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2012,7/24/2012 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2013,9/19/2013 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2014,8/11/2014 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2015,6/8/2015 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2016,7/26/2016 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2017,7/11/2017 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2018,7/12/2018 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",6008.00,"Muricea californica","California golden gorgonian",2019,10/7/2019 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1983,9/13/1983 0:00:00,0.00,0.00,0.00,0.00,10,400.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1984,8/28/1984 0:00:00,0.00,0.00,0.00,0.00,10,400.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1985,8/27/1985 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1986,7/28/1986 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1987,8/13/1987 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1988,9/19/1988 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1989,7/24/1989 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1990,7/9/1990 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1991,7/9/1991 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1992,7/13/1992 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1993,7/12/1993 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1994,9/15/1994 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1995,8/21/1995 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1996,7/8/1996 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1997,7/21/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2000,7/31/2000 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2002,7/8/2002 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2003,8/18/2003 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2005,6/13/2005 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2006,6/19/2006 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2008,7/28/2008 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2009,6/1/2009 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2010,6/28/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2011,9/12/2011 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2012,7/24/2012 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2013,9/19/2013 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2014,8/11/2014 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2015,6/8/2015 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2016,7/26/2016 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2017,7/11/2017 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2018,7/12/2018 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",8001.00,"Panulirus interruptus","California spiny lobster",2019,10/7/2019 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1983,9/13/1983 0:00:00,0.00,0.00,0.00,0.00,10,400.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1984,8/28/1984 0:00:00,0.00,0.00,0.00,0.00,10,400.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1985,8/27/1985 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1986,7/28/1986 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1987,8/13/1987 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1988,9/19/1988 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1989,7/24/1989 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1990,7/9/1990 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1991,7/9/1991 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1992,7/13/1992 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1993,7/12/1993 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1994,9/15/1994 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1995,8/21/1995 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1996,7/8/1996 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1997,7/21/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",2000,7/31/2000 0:00:00,0.00,0.00,0.00,0.00,12,720.00
5,"SR","Santa Rosa Island","RR","Rodes Reef",9002.00,"Haliotis rufescens","red abalone",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,720.00
